,discount,order_priority,profit,quantity,sales,segment_Corporate,ship_mode_Second Class,ship_mode_Standard Class,shipping_cost,weeknum,year
81,0.0,Low,10.626,2,23,0.0,0.0,1.0,2.24,24,2011
82,0.0,Low,0.1472,2,7,0.0,0.0,1.0,0.84,24,2011
83,0.0,Medium,2.224,2,6,0.0,0.0,1.0,0.28,28,2011
84,0.0,Medium,25.792,5,99,1.0,0.0,1.0,7.53,30,2011
85,0.0,High,3.2256,4,12,0.0,1.0,0.0,1.92,30,2011
86,0.0,High,68.585,10,237,0.0,1.0,0.0,28.62,30,2011
87,0.0,High,11.803,5,41,1.0,0.0,1.0,3.27,30,2011
88,0.0,High,15.0416,4,54,0.0,1.0,0.0,5.53,31,2011
89,0.0,High,327.506,5,8188,0.0,1.0,0.0,16.77,31,2011
90,0.0,Medium,12.8744,2,46,0.0,0.0,1.0,4.43,32,2011
91,0.0,Medium,0.6312,2,16,0.0,0.0,1.0,0.29,32,2011
92,0.0,High,42.8148,3,153,0.0,0.0,1.0,20.47,34,2011
93,0.0,High,2.4824,2,9,0.0,1.0,0.0,1.58,35,2011
94,0.0,Medium,27.4856,8,58,1.0,0.0,0.0,3.81,37,2011
95,0.0,Medium,24.3595,5,57,0.0,0.0,1.0,5.59,37,2011
96,0.0,Medium,1.9698,2,4,0.0,0.0,1.0,0.29,37,2011
97,0.0,Medium,4.1916,1,15,0.0,0.0,1.0,1.26,37,2011
98,0.0,High,0.1134,3,6,0.0,0.0,0.0,0.67,39,2011
99,0.0,Medium,4.5816,2,10,0.0,0.0,1.0,0.2,39,2011
100,0.0,High,15.4752,3,60,0.0,0.0,1.0,6.51,39,2011
101,0.0,High,36.8245,5,78,0.0,0.0,1.0,7.85,39,2011
102,0.0,High,7.3132,2,16,0.0,0.0,1.0,2.3,39,2011
103,0.0,Medium,8.4784,4,212,0.0,0.0,1.0,7.99,39,2011
104,0.0,Medium,41.934,3,145,0.0,0.0,1.0,8.56,42,2011
105,0.0,Medium,4.172,5,15,0.0,0.0,1.0,0.45,42,2011
106,0.0,Medium,6.2031,1,21,0.0,0.0,1.0,1.54,42,2011
107,0.0,Medium,9.0,5,19,1.0,1.0,0.0,2.31,43,2011
108,0.0,High,105.2468,2,363,0.0,0.0,1.0,34.38,45,2011
109,0.0,Critical,24.9804,6,93,0.0,1.0,0.0,21.12,46,2011
110,0.0,Critical,3.4092,3,341,0.0,1.0,0.0,51.9,46,2011
111,0.0,Critical,3.285,3,11,1.0,1.0,0.0,2.3,47,2011
112,0.0,High,72.432,3,241,1.0,0.0,0.0,14.77,47,2011
113,0.0,Medium,19.872,4,41,0.0,0.0,0.0,3.39,49,2011
114,0.0,Medium,0.1472,2,7,0.0,0.0,0.0,1.36,49,2011
115,0.0,High,11.7936,3,44,0.0,0.0,0.0,3.95,49,2011
116,0.0,Medium,15.2,5,30,0.0,0.0,1.0,2.12,49,2011
117,0.0,High,126.3942,9,275,1.0,0.0,1.0,0.2,53,2011
118,0.0,Medium,22.9877,1,49,0.0,1.0,0.0,4.34,17,2011
119,0.0,Medium,15.552,5,32,0.0,0.0,1.0,2.14,28,2011
120,0.0,High,10.7301,3,23,0.0,0.0,0.0,6.37,30,2011
121,0.0,High,41.823,3,93,0.0,0.0,1.0,9.38,34,2011
122,0.0,Medium,53.8608,2,110,1.0,0.0,0.0,6.2,36,2011
123,0.0,Medium,6.4128,2,13,1.0,0.0,0.0,2.21,36,2011
124,0.0,Medium,10.6428,4,22,0.0,0.0,1.0,1.23,39,2011
125,0.0,High,9.4815,3,19,0.0,0.0,1.0,2.46,39,2011
126,0.0,High,17.334,9,39,0.0,0.0,1.0,2.59,39,2011
127,0.0,Medium,68.9631,3,147,1.0,1.0,0.0,7.86,43,2011
128,0.0,Critical,28.819,7,63,0.0,1.0,0.0,21.97,46,2011
129,0.0,Critical,45.528,5,95,0.0,1.0,0.0,28.78,46,2011
130,0.0,High,352.296,7,734,1.0,0.0,0.0,121.19,47,2011
131,0.0,Medium,6.2208,2,13,1.0,0.0,1.0,0.67,48,2011
132,0.0,Medium,3.0268,2,7,0.0,0.0,1.0,0.25,48,2011
133,0.0,Medium,40.1702,2,82,0.0,0.0,1.0,3.37,48,2011
134,0.0,Critical,80.7912,3,165,0.0,0.0,0.0,61.23,50,2011
135,0.0,Medium,16.9932,6,35,1.0,0.0,1.0,2.88,50,2011
136,0.0,Medium,5.778,3,13,0.0,0.0,1.0,0.98,53,2011
137,0.0,High,9.504,4,21,1.0,0.0,1.0,2.5,53,2011
138,0.0,Medium,12.0252,4,36,0.0,0.0,1.0,3.25,5,2011
139,0.0,Medium,14.3075,1,57,0.0,0.0,1.0,4.0,5,2011
140,0.0,Medium,5.8045,5,12,0.0,0.0,1.0,0.29,6,2011
141,0.0,High,16.0928,4,34,0.0,0.0,1.0,3.16,6,2011
142,0.0,Medium,10.5072,8,32,0.0,0.0,1.0,3.17,21,2011
143,0.0,High,7.1864,4,359,1.0,0.0,0.0,92.1,22,2011
144,0.0,Medium,50.328,1,105,0.0,0.0,0.0,22.92,30,2011
145,0.0,Medium,9.7608,4,20,0.0,0.0,0.0,3.15,30,2011
146,0.0,Medium,22.0748,2,76,0.0,0.0,1.0,6.7,33,2011
147,0.0,Medium,9.6048,8,21,0.0,0.0,1.0,0.77,33,2011
148,0.0,Medium,3.852,2,9,1.0,0.0,1.0,0.63,39,2011
149,0.0,Critical,9.3312,3,19,0.0,0.0,0.0,5.1,40,2011
150,0.0,High,40.1702,2,82,0.0,0.0,1.0,5.09,40,2011
151,0.0,Low,18.3264,8,40,0.0,0.0,1.0,3.37,46,2011
152,0.0,Low,28.008,8,62,0.0,0.0,1.0,4.44,46,2011
153,0.0,High,3.6322,1,14,0.0,0.0,0.0,2.16,52,2011
154,0.0,Medium,0.1191,3,12,0.0,0.0,1.0,0.64,53,2011
155,0.0,High,2.0748,3,8,0.0,0.0,1.0,1.04,11,2011
156,0.0,High,1.2506,1,3,1.0,0.0,1.0,0.4,12,2011
157,0.0,Medium,334.1142,7,1856,0.0,0.0,1.0,93.9,12,2011
158,0.0,High,9.0,5,19,0.0,1.0,0.0,2.74,13,2011
159,0.0,Medium,14.8,2,30,0.0,1.0,0.0,3.01,14,2011
160,0.0,Low,16.2688,2,40,1.0,0.0,1.0,4.53,16,2011
161,0.0,High,78.5088,3,271,0.0,0.0,1.0,45.48,18,2011
162,0.0,Medium,11.0808,6,41,0.0,0.0,1.0,1.8,20,2011
163,0.0,High,3.8048,4,13,1.0,0.0,0.0,0.63,30,2011
164,0.0,High,160.623,3,535,1.0,0.0,0.0,17.7,30,2011
165,0.0,Medium,110.0528,11,423,0.0,1.0,0.0,44.72,33,2011
166,0.0,High,15.6426,3,54,0.0,1.0,0.0,1.8,36,2011
167,0.0,Medium,7.3872,4,27,1.0,1.0,0.0,1.89,37,2011
168,0.0,Medium,85.9818,3,183,0.0,0.0,1.0,18.49,38,2011
169,0.0,Medium,3.58,2,7,1.0,0.0,1.0,0.17,39,2011
170,0.0,Medium,42.3625,5,169,0.0,0.0,1.0,6.61,39,2011
171,0.0,Medium,0.4068,2,41,0.0,0.0,1.0,3.03,39,2011
172,0.0,High,6.7915,5,14,0.0,0.0,1.0,1.41,41,2011
173,0.0,Critical,7.4872,2,15,0.0,0.0,0.0,3.51,42,2011
174,0.0,High,8.2992,4,32,0.0,0.0,0.0,4.81,42,2011
175,0.0,Medium,3.7436,1,8,0.0,0.0,1.0,0.33,42,2011
176,0.0,Medium,0.7938,1,3,1.0,0.0,1.0,0.24,45,2011
177,0.0,Medium,2.4012,2,5,1.0,0.0,1.0,0.51,47,2011
178,0.0,High,93.0552,6,321,1.0,1.0,0.0,41.8,48,2011
179,0.0,Medium,11.3512,2,41,1.0,0.0,1.0,2.9,48,2011
180,0.0,High,0.6258,3,9,0.0,1.0,0.0,0.56,51,2011
181,0.0,Medium,3.1752,4,12,0.0,0.0,1.0,1.18,52,2011
182,0.0,Medium,2.9646,1,11,0.0,0.0,1.0,0.95,53,2011
183,0.0,Medium,3.6156,3,8,0.0,0.0,1.0,0.3,53,2011
184,0.0,Medium,13.8915,3,51,0.0,0.0,1.0,0.19,53,2011
185,0.0,Medium,29.9646,9,999,0.0,0.0,1.0,76.28,53,2011
186,0.0,Medium,13.299,5,51,0.0,0.0,1.0,2.23,53,2011
187,0.0,Medium,44.4,6,89,0.0,0.0,1.0,7.9,53,2011
188,0.0,High,9.3312,3,19,0.0,0.0,0.0,5.01,9,2011
189,0.0,High,4.752,2,11,1.0,0.0,1.0,1.23,12,2011
190,0.0,Medium,19.1808,2,40,0.0,0.0,1.0,2.45,20,2011
191,0.0,High,5.8604,2,12,1.0,0.0,0.0,2.18,30,2011
192,0.0,High,2.691,1,6,0.0,0.0,1.0,1.05,33,2011
193,0.0,Medium,9.6632,2,21,1.0,1.0,0.0,0.79,37,2011
194,0.0,High,12.3096,4,27,1.0,1.0,0.0,2.96,48,2011
195,0.0,Medium,7.0218,3,15,1.0,0.0,1.0,1.73,48,2011
196,0.0,Critical,121.4416,8,248,1.0,1.0,0.0,55.2,17,2011
197,0.0,Medium,9.6957,3,36,1.0,0.0,1.0,3.35,20,2011
198,0.0,Medium,4.4564,2,17,1.0,0.0,1.0,1.39,24,2011
199,0.0,High,4.195,2,17,1.0,0.0,1.0,1.55,37,2011
200,0.0,Low,21.7845,5,46,0.0,0.0,1.0,3.98,46,2011
201,0.0,Low,109.7208,4,224,0.0,0.0,1.0,29.05,46,2011
202,0.0,Low,2.19,2,7,0.0,0.0,1.0,0.64,46,2011
203,0.0,Medium,15.4752,3,60,0.0,1.0,0.0,8.02,10,2011
204,0.0,Medium,45.9754,2,98,0.0,1.0,0.0,10.13,10,2011
205,0.0,Medium,5.3998,2,19,0.0,1.0,0.0,1.91,10,2011
206,0.0,Medium,20.853,5,50,0.0,0.0,1.0,1.58,14,2011
207,0.0,High,4.9432,2,13,0.0,0.0,0.0,1.92,24,2011
208,0.0,Medium,83.844,6,1677,0.0,0.0,1.0,85.79,24,2011
209,0.0,Medium,10.5,4,35,0.0,0.0,1.0,1.72,25,2011
210,0.0,Medium,19.458,5,41,0.0,0.0,1.0,3.88,25,2011
211,0.0,High,8.955,1,20,0.0,0.0,0.0,3.34,36,2011
212,0.0,Medium,5.0922,3,11,0.0,0.0,1.0,0.55,38,2011
213,0.0,Medium,8.983,5,449,0.0,0.0,1.0,19.03,38,2011
214,0.0,Medium,154.8426,3,534,0.0,0.0,1.0,29.73,45,2011
215,0.0,Medium,82.2906,3,168,0.0,0.0,1.0,2.83,45,2011
216,0.0,High,44.712,9,93,0.0,0.0,0.0,15.58,48,2011
217,0.0,High,5.6448,4,12,0.0,0.0,0.0,2.75,48,2011
218,0.0,High,29.2716,4,62,0.0,0.0,1.0,4.74,49,2011
219,0.0,Medium,5.3392,2,11,0.0,0.0,1.0,0.94,10,2011
220,0.0,Medium,56.2032,1,208,0.0,0.0,1.0,17.78,22,2011
221,0.0,Medium,0.1512,2,5,0.0,0.0,1.0,0.07,22,2011
222,0.0,Critical,77.8635,3,236,1.0,0.0,0.0,73.89,23,2011
223,0.0,Medium,4.0456,4,16,0.0,0.0,1.0,1.01,23,2011
224,0.0,High,26.865,3,60,0.0,0.0,0.0,3.07,26,2011
225,0.0,Medium,26.598,10,102,0.0,0.0,1.0,7.96,32,2011
226,0.0,Critical,7.056,5,14,0.0,0.0,0.0,5.37,36,2011
227,0.0,High,198.429,2,601,0.0,0.0,0.0,122.09,38,2011
228,0.0,High,31.4916,7,68,0.0,0.0,0.0,7.81,38,2011
229,0.0,High,8.0548,1,31,0.0,0.0,0.0,3.67,39,2011
230,0.0,High,35.3346,6,75,0.0,0.0,0.0,12.64,39,2011
231,0.0,High,8.694,3,19,0.0,1.0,0.0,2.27,40,2011
232,0.0,High,16.0356,7,35,0.0,0.0,1.0,2.86,45,2011
233,0.0,Medium,2.8416,4,6,1.0,0.0,0.0,0.47,46,2011
234,0.0,Medium,17.37,3,35,1.0,0.0,1.0,3.47,48,2011
235,0.0,Medium,1.316,2,4,0.0,0.0,1.0,0.25,49,2011
236,0.0,Medium,11.7782,2,25,0.0,0.0,1.0,1.32,49,2011
237,0.0,Medium,15.8256,3,57,1.0,0.0,1.0,1.92,52,2011
238,0.0,Medium,30.735,3,123,0.0,0.0,1.0,13.29,53,2011
239,0.0,High,8.694,3,19,1.0,0.0,0.0,0.3,53,2011
240,0.0,Critical,2.94,5,11,1.0,0.0,0.0,1.03,14,2011
241,0.0,Medium,2.904,3,7,0.0,0.0,1.0,0.2,27,2011
242,0.0,Medium,4.485,3,18,1.0,1.0,0.0,1.81,29,2011
243,0.0,High,1.6688,2,6,0.0,0.0,1.0,0.71,30,2011
244,0.0,Medium,7.0224,7,16,1.0,0.0,1.0,1.66,32,2011
245,0.0,Critical,16.17,5,58,0.0,0.0,0.0,16.87,36,2011
246,0.0,High,8.0712,3,21,0.0,0.0,0.0,3.6,36,2011
247,0.0,Medium,1.6896,2,4,0.0,0.0,1.0,0.4,37,2011
248,0.0,Medium,1.4742,3,5,0.0,0.0,1.0,0.54,38,2011
249,0.0,Medium,17.1678,3,66,0.0,0.0,1.0,2.95,39,2011
250,0.0,Medium,5.7376,4,13,0.0,0.0,1.0,1.16,39,2011
251,0.0,Critical,9.744,4,65,1.0,1.0,0.0,19.07,7,2011
252,0.0,Medium,5.7672,2,21,0.0,0.0,1.0,1.39,32,2011
253,0.0,Medium,18.767,1,375,0.0,0.0,1.0,27.88,33,2011
254,0.0,High,362.8404,9,1396,0.0,1.0,0.0,143.17,40,2011
255,0.0,High,13.071,1,44,0.0,0.0,1.0,3.64,45,2011
256,0.0,High,55.896,4,1118,0.0,1.0,0.0,105.31,48,2011
257,0.0,Medium,56.264,4,216,0.0,0.0,1.0,10.54,52,2011
258,0.0,Medium,19.188,6,192,0.0,0.0,1.0,18.42,53,2011
259,0.0,Medium,17.472,5,36,0.0,0.0,1.0,2.18,10,2011
260,0.0,High,49.014,14,109,0.0,1.0,0.0,12.24,11,2011
261,0.0,Medium,75.9696,4,155,1.0,0.0,1.0,3.7,12,2011
262,0.0,Medium,16.3842,7,35,1.0,0.0,1.0,3.61,12,2011
263,0.0,High,11.703,5,25,0.0,0.0,1.0,1.85,13,2011
264,0.0,Critical,26.6304,1,55,0.0,0.0,0.0,19.06,15,2011
265,0.0,Medium,6.7252,2,15,0.0,0.0,1.0,0.31,22,2011
266,0.0,Critical,17.982,4,40,1.0,0.0,0.0,12.9,23,2011
267,0.0,High,9.039,3,20,0.0,0.0,0.0,3.86,26,2011
268,0.0,Medium,23.0864,4,49,0.0,0.0,1.0,3.16,29,2011
269,0.0,Medium,32.2322,11,66,1.0,0.0,1.0,4.36,31,2011
270,0.0,Medium,18.7812,2,40,0.0,0.0,1.0,3.77,32,2011
271,0.0,High,22.5008,4,46,0.0,0.0,0.0,7.52,35,2011
272,0.0,High,12.4416,4,26,0.0,0.0,0.0,5.38,35,2011
273,0.0,Critical,7.0218,3,15,0.0,0.0,0.0,4.15,36,2011
274,0.0,High,21.0654,9,45,0.0,0.0,0.0,6.52,38,2011
275,0.0,Medium,7.0218,3,15,0.0,0.0,1.0,0.99,38,2011
276,0.0,High,37.9848,2,78,0.0,1.0,0.0,14.05,40,2011
277,0.0,High,24.47,1,49,0.0,0.0,1.0,7.23,40,2011
278,0.0,Medium,55.764,4,124,0.0,1.0,0.0,7.98,41,2011
279,0.0,Medium,13.8828,3,30,1.0,0.0,0.0,1.1,46,2011
280,0.0,High,5.2256,2,11,0.0,0.0,1.0,1.5,47,2011
281,0.0,High,17.22,3,34,0.0,1.0,0.0,3.12,47,2011
282,0.0,Medium,12.4416,4,26,1.0,0.0,1.0,1.68,48,2011
283,0.0,Medium,5.2256,2,11,0.0,0.0,1.0,0.79,50,2011
284,0.0,High,4.6644,3,18,0.0,0.0,0.0,4.29,11,2011
285,0.0,High,4.8588,3,243,0.0,0.0,0.0,1.28,11,2011
286,0.0,Medium,19.0344,4,58,1.0,0.0,0.0,1.24,19,2011
287,0.0,High,9.7438,2,23,0.0,0.0,0.0,3.79,38,2011
288,0.0,High,2.679,5,6,0.0,0.0,0.0,1.99,38,2011
289,0.0,High,24.47,1,49,0.0,0.0,0.0,4.7,38,2011
290,0.0,High,2.19,2,7,0.0,0.0,0.0,2.45,38,2011
291,0.0,Medium,27.882,2,62,0.0,1.0,0.0,8.07,43,2011
292,0.0,Medium,6.894,1,23,1.0,0.0,0.0,1.73,46,2011
293,0.0,High,24.9804,6,93,1.0,0.0,1.0,12.55,39,2011
294,0.0,Low,12.4416,4,26,1.0,0.0,1.0,2.42,48,2011
295,0.0,Low,9.7176,6,486,1.0,0.0,1.0,41.99,48,2011
296,0.0,Low,53.3466,2,198,1.0,0.0,1.0,18.44,48,2011
297,0.0,Medium,22.9488,2,82,1.0,0.0,1.0,4.71,8,2011
298,0.0,Medium,4.7724,2,239,1.0,0.0,1.0,20.08,8,2011
299,0.0,Medium,9.499,5,21,1.0,0.0,1.0,0.52,11,2011
300,0.0,Medium,0.0,5,205,1.0,0.0,1.0,10.65,11,2011
301,0.0,Medium,22.2,3,44,1.0,0.0,1.0,3.3,14,2011
302,0.0,Medium,0.0,3,16,1.0,0.0,1.0,0.22,14,2011
303,0.0,Medium,8.95,5,18,0.0,0.0,1.0,1.26,25,2011
304,0.0,Medium,10.6522,1,41,0.0,0.0,1.0,1.25,33,2011
305,0.0,Medium,10.7912,2,23,0.0,0.0,1.0,1.84,33,2011
306,0.0,Medium,1.2112,2,30,0.0,0.0,1.0,2.45,38,2011
307,0.0,Medium,16.2204,3,58,0.0,0.0,1.0,4.99,38,2011
308,0.0,Medium,80.6312,2,310,0.0,0.0,1.0,16.57,40,2011
309,0.0,Medium,153.4725,5,808,0.0,0.0,1.0,30.49,40,2011
310,0.0,Medium,13.7428,4,29,0.0,0.0,1.0,1.04,41,2011
311,0.0,Medium,70.0336,7,269,0.0,0.0,1.0,23.68,50,2011
312,0.0,Medium,14.904,3,31,0.0,0.0,1.0,1.4,52,2011
313,0.0,Medium,77.4837,3,158,0.0,0.0,1.0,10.65,20,2011
314,0.0,High,6.2208,2,13,0.0,0.0,1.0,1.85,22,2011
315,0.0,Low,91.152,8,304,0.0,0.0,1.0,61.94,37,2011
316,0.0,Low,2.646,2,6,0.0,0.0,1.0,0.76,37,2011
317,0.0,Low,19.4352,6,486,0.0,0.0,1.0,56.26,37,2011
318,0.0,High,62.0368,4,214,0.0,0.0,0.0,42.66,42,2011
319,0.0,High,3.2256,4,12,0.0,0.0,0.0,1.94,42,2011
320,0.0,High,21.0128,2,46,0.0,1.0,0.0,7.21,50,2011
321,0.0,Medium,19.2384,6,40,0.0,0.0,1.0,4.31,5,2011
322,0.0,Medium,3.2392,1,81,0.0,0.0,1.0,3.07,12,2011
323,0.0,Medium,5.7672,2,21,0.0,0.0,1.0,1.96,12,2011
324,0.0,Medium,24.3824,7,87,0.0,0.0,1.0,4.86,16,2011
325,0.0,Medium,9.99,2,56,0.0,1.0,0.0,1.82,20,2011
326,0.0,High,23.232,5,48,0.0,0.0,0.0,12.93,22,2011
327,0.0,High,4.6956,7,18,1.0,1.0,0.0,2.0,24,2011
328,0.0,High,36.4044,3,79,1.0,1.0,0.0,19.07,24,2011
329,0.0,High,305.13,3,1090,0.0,1.0,0.0,171.65,32,2011
330,0.0,High,4.264,5,16,0.0,1.0,0.0,0.41,32,2011
331,0.0,High,219.4416,8,448,0.0,1.0,0.0,64.74,32,2011
332,0.0,High,7.945,5,159,0.0,1.0,0.0,15.1,32,2011
333,0.0,High,0.0,1,5,0.0,0.0,1.0,0.63,40,2011
334,0.0,Medium,112.574,7,256,1.0,0.0,0.0,45.46,42,2011
335,0.0,High,9.891,7,22,1.0,1.0,0.0,3.96,47,2011
336,0.0,Medium,79.8912,3,166,0.0,1.0,0.0,14.67,47,2011
337,0.0,Medium,12.4416,4,26,1.0,0.0,1.0,1.47,50,2011
338,0.0,Medium,42.0256,4,91,1.0,0.0,1.0,8.97,50,2011
339,0.0,Medium,7.9896,1,33,0.0,1.0,0.0,4.35,53,2011
340,0.0,Medium,3.6018,3,8,0.0,0.0,1.0,0.55,16,2011
341,0.0,Medium,1.4952,2,5,1.0,0.0,1.0,0.32,18,2011
342,0.0,Medium,9.387,2,21,1.0,0.0,1.0,1.58,18,2011
343,0.0,Medium,1.512,1,3,1.0,0.0,1.0,0.25,18,2011
344,0.0,Medium,129.3786,9,498,1.0,0.0,1.0,33.3,18,2011
345,0.0,High,9.3184,4,33,1.0,1.0,0.0,6.21,21,2011
346,0.0,High,11.9412,9,39,1.0,1.0,0.0,7.82,21,2011
347,0.0,Low,56.9772,3,116,0.0,0.0,1.0,14.48,22,2011
348,0.0,High,6.206,5,21,0.0,0.0,0.0,6.58,26,2011
349,0.0,Low,11.0544,1,39,0.0,0.0,1.0,4.04,29,2011
350,0.0,Medium,1.8288,1,4,1.0,0.0,1.0,0.28,30,2011
351,0.0,Medium,9.6048,2,21,1.0,0.0,1.0,1.12,30,2011
352,0.0,High,27.5292,2,102,1.0,0.0,1.0,14.52,32,2011
353,0.0,High,124.6752,13,260,1.0,0.0,1.0,39.43,32,2011
354,0.0,High,22.2516,3,79,1.0,1.0,0.0,5.35,32,2011
355,0.0,High,2.0064,2,5,1.0,1.0,0.0,0.54,32,2011
